Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
MONSTER HUNTER RISE	86.5	355	21	CAPCOM Co., Ltd.	12-Jan-2022
Grand Theft Auto V	85.6	139	32	Rockstar North	13-Apr-2015
Monster Hunter Stories 2: Wings of Ruin	82.2	137	40	CAPCOM Co., Ltd.	08-Jul-2021
ELDEN RING	91.6	122	55	FromSoftware Inc.	24-Feb-2022
Monster Hunter: World	86	110	48	CAPCOM Co., Ltd.	09-Aug-2018
PAYDAY 2	89.6	96	25	OVERKILL - a Starbreeze Studio.	13-Aug-2013
Spyro™ Reignited Trilogy	94.8	51	17	Toys for Bob, Iron Galaxy	03-Sep-2019
Yu-Gi-Oh! Legacy of the Duelist	84.6	50	17	Other Ocean Interactive	07-Dec-2016
Road Redemption	82	43	6	Fish Factory Games, Pixel Dash Studios	04-Oct-2017
Vampire Survivors	98.8	40	10	poncle	20-Oct-2022
Fable Anniversary	84.8	39	13	Lionhead Studios	12-Sep-2014
Torchlight II	93	39	21	Runic Games	20-Sep-2012
The Witness	85.2	35	17	Thekla, Inc.	26-Jan-2016
Magic 2015	45.2	34	10	Stainless Games	16-Jul-2014
Yooka-Laylee	75.9	33	15	Playtonic Games	11-Apr-2017
Deadpool	91.2	33	7	High Moon Studios	NA
Mercenary Kings	70.5	32	20	Tribute Games Inc.	25-Mar-2014
N++	94.1	30	27	Metanet Software Inc.	25-Aug-2016
Dead Island	86.7	28	18	Techland	NA
The East New World	50	28	No time registered yet	TEN10 Games	26-Apr-2016
Wasteland 2	82.3	28	41	inXile Entertainment	18-Sep-2014
resident evil 4 (2005)	91.9	28	16	Capcom	27-Feb-2014
Unepic	92	27	18	@unepic_fran	25-Jul-2014
Plants vs. Zombies: Game of the Year	97.4	26	8	PopCap Games, Inc.	05-May-2009
Mark of the Ninja	97	25	8	Klei Entertainment	NA
The Whispered World Special Edition	75.7	25	10	Daedalic Entertainment	06-May-2014
Resident Evil 5	87	23	12	Capcom	15-Sep-2009
Orcs Must Die! 2	93.7	23	8	Robot Entertainment	30-Jul-2012
Dust: An Elysian Tail	95.6	23	10	Humble Hearts LLC	24-May-2013
DRAGON BALL XENOVERSE	89.1	23	17	DIMPS	26-Feb-2015
METAL SLUG	89.4	22	1	Dotemu	25-Jun-2015
Sonic Generations	93.1	22	6	Devil's Details	03-Nov-2011
Dead Rising 3	75.2	21	14	Capcom Game Studio Vancouver	05-Sep-2014
Owlboy	84.6	21	8	D-Pad Studio	01-Nov-2016
Darksiders II Deathinitive Edition	77.6	19.9	20	Gunfire Games, Vigil Games, THQ Nordic	05-Nov-2015
Resident Evil 2	97.1	19.3	9	CAPCOM Co., Ltd.	24-Jan-2019
Battle vs Chess	71.2	18.5	17		16-Aug-2012
Blasphemous	90.3	18.3	14	The Game Kitchen	10-Sep-2019
Cuphead	96.6	17.3	10	Studio MDHR Entertainment Inc.	29-Sep-2017
Hellblade: Senua's Sacrifice	91.3	17.3	8	Ninja Theory	07-Aug-2017
Oceanhorn: Monster of Uncharted Seas	79.9	17.3	9	Cornfox & Brothers Ltd.	17-Mar-2015
Brütal Legend	93.1	17.2	9	Double Fine Productions	26-Feb-2013
River City Ransom: Underground	75.7	16.7	10	Conatus Creative Inc.	27-Feb-2017
Blackguards	62	16.6	41	Daedalic Entertainment	22-Jan-2014
BloodRayne: Betrayal (Legacy)	60.9	16.5	5	Abstraction Games	30-Apr-2014
Warhammer 40,000: Dawn of War III	47.1	16.4	17	Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)	27-Apr-2017
Plague Inc: Evolved	94.5	16.3	4	Ndemic Creations	18-Feb-2016
Tumblestone	76.3	16.2	21	The Quantum Astrophysicists Guild	12-Jul-2016
One Finger Death Punch	98	16	7	Silver Dollar Games	03-Mar-2014
Euro Truck Simulator 2	97.4	16	44	SCS Software	12-Oct-2012
Always Sometimes Monsters	74.9	15.5	9	Vagabond Dog	21-May-2014
Risk of Rain	93.7	15.4	5	Hopoo Games	08-Nov-2013
Terraria	97.8	15.3	50	Re-Logic	16-May-2011
Teleglitch: Die More Edition	85.2	15.2	5	Test3 Projects	24-Jul-2013
Revolution Ace	72.1	15.2	6	Laser Guided Games, LLC	19-Mar-2014
Saints Row IV	88.7	15.2	15	Deep Silver Volition	22-Aug-2013
Project Night	25.8	15.1	3	Riccardo Deias	NA
Deponia Doomsday	86.3	15.1	11	Daedalic Entertainment	01-Mar-2016
Saviors	82.3	15.1	2	Sharpened Edge Studios	06-May-2016
Tropico 4	91.7	15	40	Haemimont Games	01-Sep-2011
Mortal Kombat X	83.6	15	6	NetherRealm Studios, QLOC	13-Apr-2015
Bastion	95.6	14.9	6	Supergiant Games	16-Aug-2011
Antichamber	95.1	14.9	6	Alexander Bruce	31-Jan-2013
MURDERED: SOUL SUSPECT™	85.3	14.9	7	Airtight Games	05-Jun-2014
Poof	75.8	14.8	0	Arkedo	08-Nov-2013
Jotun: Valhalla Edition	77.7	14.7	5	Thunder Lotus Games	29-Sep-2015
NotTheNameWeWanted	87.1	14.7	1	NotGames	02-Jul-2015
Clickr	80.1	14.6	4	Ntreev Soft Co., Ltd.	NA
The Night of the Rabbit	89.6	14.6	10	Daedalic Entertainment	28-May-2013
Wasteland 2: Director's Cut	NA	14.5	41	inXile Entertainment	18-Sep-2014
Full Mojo Rampage	84.5	14.4	6	Over the Top Games	08-May-2014
Borealis	59.9	14.1	1	Conrad Nelson	02-Sep-2014
AR-K	56.7	13.9	5	GATO STUDIO	21-Jul-2014
Beyond Space	32.9	13.9	2	Silesia Games Sp. z o.o.	18-Jun-2014
The Cat Lady	93.5	13.7	8	Harvester Games	04-Dec-2013
Turok	94.1	13.7	8	Iguana Entertainment, Nightdive Studios	17-Dec-2015
Outlast	96.4	13.6	5	Red Barrels	04-Sep-2013
Project Highrise	84.4	13.6	10	SomaSim	08-Sep-2016
Monkey Island 2: Special Edition	95.5	12.9	7	LucasArts	07-Jul-2010
Resident Evil 6	79.9	12.9	21	Capcom	21-Mar-2013
Distance	92.8	12.7	2	Refract	18-Sep-2018
BattleBlock Theater	97.3	12.6	10	The Behemoth	15-May-2014
Awesomenauts	84.7	12.5	12	Ronimo Games	01-Aug-2012
Goodbye Deponia	89.1	12.5	10	Daedalic Entertainment	17-Oct-2013
Castle Crashers	96.3	12.2	7	The Behemoth	26-Sep-2012
DRAGON BALL FighterZ	90.4	11.6	12	Arc System Works	26-Jan-2018
POSTAL 2	96.3	11.6	7	Running With Scissors	02-Nov-2012
Genital Jousting	92	11.4	2	Free Lives	18-Jan-2018
Broken Sword 3 - the Sleeping Dragon	57	11.3	10	Revolution Software Ltd	02-Dec-2009
DuckTales Remastered	87.4	11.2	4	WayForward	13-Aug-2013
Resident Evil Revelations	86	11.2	8	Capcom	23-May-2013
Teslagrad	85.1	11.1	5	Rain Games	13-Dec-2013
Hell Yeah!	85.6	10.8	7	Arkedo	03-Oct-2012
Super Daryl Deluxe	88	10.5	19	Dan &amp; Gary Games	10-Apr-2018
Hades	98.6	10.5	22	Supergiant Games	17-Sep-2020
Dead Island Definitive Edition	82	10.5	16	Techland	31-May-2016
Magicka	88.5	10.3	10	Arrowhead Game Studios	25-Jan-2011
Shovel Knight: Treasure Trove	96.1	10.2	7	Yacht Club Games	26-Jun-2014
Second Sight	82.1	10.2	9	Free Radical Design	08-Apr-2021
Football Manager 2017	59.2	10.2	217	Sports Interactive	03-Nov-2016
Comedy Night	75	10.1	1	Lighthouse Games Studio	24-Aug-2017
Planescape: Torment: Enhanced Edition	94.9	10	32	Beamdog	11-Apr-2017
The Room Three	96.5	10	5	Fireproof Games	13-Nov-2018
99 Spirits	59.2	9.9	13	TORaIKI	12-Nov-2013
Conan Exiles	78.4	9.9	33	Funcom	08-May-2018
Sherlock Holmes: The Devil's Daughter	79.5	9.9	10	Frogwares	10-Jun-2016
Supraball	77.5	9.8	No time registered yet	Supra Games	08-Feb-2019
Holy Potatoes! A Weapon Shop?!	72.3	9.6	11	Daylight Studios	13-Jul-2015
Reign Of Kings	57.2	9.6	No time registered yet	Code}{atch	15-Dec-2015
Injustice: Gods Among Us Ultimate Edition	85.8	9.6	5	NetherRealm Studios, High Voltage Software	29-Nov-2013
Left 4 Dead 2	97.5	9.5	10	Valve	16-Nov-2009
GRID Autosport	77.7	9.4	33	Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)	26-Jun-2014
Chaos on Deponia	90.8	9.4	10	Daedalic Entertainment	06-Nov-2012
Resident Evil 7 Biohazard	94.9	9.4	9	CAPCOM Co., Ltd.	23-Jan-2017
Worms W.M.D	84.6	9.4	14	Team17	23-Aug-2016
Deponia	87.8	9.3	8	Daedalic Entertainment	06-Aug-2012
Solo	86.7	9.2	3	Team Gotham	26-Apr-2018
Dead Rising	88.6	9.2	12	Capcom	12-Sep-2016
Sonic & All-Stars Racing Transformed Collection	94	9.1	7	Sumo Digital	31-Jan-2013
Football Manager 2016	68.4	9.1	271	SPORTS INTERACTIVE	NA
Crash Bandicoot™ N. Sane Trilogy	92.9	9.1	15	Vicarious Visions, Iron Galaxy	29-Jun-2018
The Sims™ 3	86.6	9	51	The Sims Studio	27-Jan-2011
