NGU IDLE	NGU Idle	595	2825	1	Exact	NGU IDLE	1147690	NA	NA	NA	NA	NA	NA	NA	NA	NA	21006	NA	NA	NA	NA	NA	NA
Idle TD: Heroes vs Zombies	NA	NA	NA	NA	NA	Idle TD: Heroes vs Zombies	1647440	NA	NA	NA	NA	NA	NA	NA	NA	NA	11787	NA	NA	NA	NA	NA	NA
Idle Monster TD	NA	NA	NA	NA	NA	Idle Monster TD	1482910	NA	NA	NA	NA	NA	NA	NA	NA	NA	6730	NA	NA	NA	NA	NA	NA
PickCrafter	PickCrafter	41	1240	1	Exact	PickCrafter	734750	NA	NA	NA	NA	NA	NA	NA	NA	NA	4267	NA	NA	NA	NA	NA	NA
Idle Space Raider	Idle Space Raider	No time registered yet	No time registered yet	1	Exact	Idle Space Raider	933540	NA	NA	NA	NA	NA	NA	NA	NA	NA	4079	NA	NA	NA	NA	NA	NA
Firestone: Online Idle RPG	Firestone Idle RPG	0	152	0.5	Non Exact	Firestone: Online Idle RPG	1013320	NA	NA	NA	NA	NA	NA	NA	NA	NA	3478	NA	NA	NA	NA	NA	NA
Transport Defender	Transport Defender	No time registered yet	No time registered yet	1	Exact	Transport Defender	685310	NA	NA	NA	NA	NA	NA	NA	NA	NA	3426	NA	NA	NA	NA	NA	NA
Idle Monster TD: Evolved	NA	NA	NA	NA	NA	Idle Monster TD: Evolved	1887930	NA	NA	NA	NA	NA	NA	NA	NA	NA	2719	NA	NA	NA	NA	NA	NA
LOGistICAL: ABC Islands	LOGistICAL: ABC Islands	0	718	1	Exact	LOGistICAL: ABC Islands	851650	NA	NA	NA	NA	NA	NA	NA	NA	NA	2634	NA	NA	NA	NA	NA	NA
Incremental Epic Hero	Incremental Epic Hero	No time registered yet	No time registered yet	1	Exact	Incremental Epic Hero	1530340	NA	NA	NA	NA	NA	NA	NA	NA	NA	2132	NA	NA	NA	NA	NA	NA
Cookie Clicker	Cookie Clicker	140	544	1	Exact	Cookie Clicker	1454400	NA	NA	NA	NA	NA	NA	NA	NA	NA	1685	NA	NA	NA	NA	NA	NA
Time Clickers	Time Clickers	296	2040	1	Exact	Time Clickers	385770	NA	NA	NA	NA	NA	NA	NA	NA	NA	1097	NA	NA	NA	NA	NA	NA
Magic 2014 	Magic: The Gathering - Duels of the Planeswalkers 2014 - Expansion	0	13	0.17	Non Exact	Magic 2014 	213850	NA	NA	NA	NA	NA	NA	NA	NA	NA	941	NA	NA	NA	NA	NA	NA
Magic Duels	Magic Duels: Origins	16	75	0.55	Non Exact	Magic Duels	316010	NA	NA	NA	NA	NA	NA	NA	NA	NA	857	NA	NA	NA	NA	NA	NA
