Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
MONSTER HUNTER RISE	86.5	354.63	22	CAPCOM Co., Ltd.	12-Jan-2022
Grand Theft Auto V	85.8	139.22	32	Rockstar North	13-Apr-2015
Monster Hunter Stories 2: Wings of Ruin	82.3	136.65	40	CAPCOM Co., Ltd.	08-Jul-2021
ELDEN RING	91.9	122.42	57	FromSoftware Inc.	24-Feb-2022
Monster Hunter: World	86.2	110.28	48	CAPCOM Co., Ltd.	09-Aug-2018
PAYDAY 2	89.7	96.05	24	OVERKILL - a Starbreeze Studio.	13-Aug-2013
Spyro™ Reignited Trilogy	94.6	51.47	17	Toys for Bob, Iron Galaxy	03-Sep-2019
Yu-Gi-Oh! Legacy of the Duelist	84.5	50.2	18	Other Ocean Interactive	07-Dec-2016
Resident Evil 5	87.4	45.98	12	Capcom	15-Sep-2009
Vampire Survivors	98.7	43.88	11	poncle	20-Oct-2022
Road Redemption	82.1	43.28	6	Fish Factory Games, Pixel Dash Studios	04-Oct-2017
Fable Anniversary	84.9	39.37	13	Lionhead Studios	12-Sep-2014
Torchlight II	93	39.27	21	Runic Games	20-Sep-2012
The East New World	51	38.55	No time registered yet	TEN10 Games	26-Apr-2016
The Witness	85.1	34.85	17	Thekla, Inc.	26-Jan-2016
Magic 2015	45.2	33.98	10	Stainless Games	16-Jul-2014
Yooka-Laylee	75.8	33.18	15	Playtonic Games	11-Apr-2017
Deadpool	91.2	32.95	7	High Moon Studios	NA
Mercenary Kings	70.4	32.02	20	Tribute Games Inc.	25-Mar-2014
N++	93.9	30.18	28	Metanet Software Inc.	25-Aug-2016
Dead Island	86.7	28.07	18	Techland	NA
Wasteland 2	82.3	27.73	41	inXile Entertainment	18-Sep-2014
Resident Evil 4 (2005)	92.6	27.5	16	Capcom	27-Feb-2014
Unepic	91.9	27.05	18	@unepic_fran	25-Jul-2014
Plants vs. Zombies: Game of the Year	97.4	25.73	8	PopCap Games, Inc.	05-May-2009
Mark of the Ninja	97	25.4	8	Klei Entertainment	NA
The Whispered World Special Edition	75.8	25.33	10	Daedalic Entertainment	06-May-2014
Orcs Must Die! 2	93.7	22.95	8	Robot Entertainment	30-Jul-2012
Dust: An Elysian Tail	95.5	22.83	10	Humble Hearts LLC	24-May-2013
DRAGON BALL XENOVERSE	89.2	22.72	17	DIMPS	26-Feb-2015
METAL SLUG	89	22.1	1	Dotemu	25-Jun-2015
Sonic Generations	93.2	21.65	6	Devil's Details	03-Nov-2011
Dead Rising 3	75.3	21.32	14	Capcom Game Studio Vancouver	05-Sep-2014
Owlboy	84.4	20.82	8	D-Pad Studio	01-Nov-2016
Darksiders II Deathinitive Edition	77.7	19.9	20	Gunfire Games, Vigil Games, THQ Nordic	05-Nov-2015
Resident Evil 2	97.2	19.27	9	CAPCOM Co., Ltd.	24-Jan-2019
Battle vs Chess	71.2	18.45	17		16-Aug-2012
Blasphemous	90.2	18.33	13	The Game Kitchen	10-Sep-2019
Cuphead	96.5	17.33	10	Studio MDHR Entertainment Inc.	29-Sep-2017
Hellblade: Senua's Sacrifice	91.2	17.3	8	Ninja Theory	07-Aug-2017
Oceanhorn: Monster of Uncharted Seas	80.1	17.27	9	Cornfox &amp; Brothers Ltd.	17-Mar-2015
Brütal Legend	93.1	17.15	9	Double Fine Productions	26-Feb-2013
River City Ransom: Underground	75.7	16.67	10	Conatus Creative Inc.	27-Feb-2017
Blackguards	61.9	16.6	40	Daedalic Entertainment	22-Jan-2014
One Finger Death Punch	98	16.45	7	Silver Dollar Games	03-Mar-2014
BloodRayne: Betrayal (Legacy)	61.1	16.45	5	Abstraction Games	30-Apr-2014
Warhammer 40,000: Dawn of War III	47.3	16.42	17	Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)	27-Apr-2017
Plague Inc: Evolved	94.5	16.28	4	Ndemic Creations	18-Feb-2016
Tumblestone	76.1	16.2	21	The Quantum Astrophysicists Guild	12-Jul-2016
Euro Truck Simulator 2	97.4	16	45	SCS Software	12-Oct-2012
Always Sometimes Monsters	74.7	15.5	9	Vagabond Dog	21-May-2014
Risk of Rain	93.6	15.4	4	Hopoo Games	08-Nov-2013
Terraria	97.8	15.27	50	Re-Logic	16-May-2011
Teleglitch: Die More Edition	85.2	15.17	5	Test3 Projects	24-Jul-2013
Revolution Ace	72.2	15.17	6	Laser Guided Games, LLC	19-Mar-2014
Saints Row IV	88.5	15.15	15	Deep Silver Volition	22-Aug-2013
Project Night	25.8	15.13	3	Riccardo Deias	NA
Deponia Doomsday	86.3	15.12	11	Daedalic Entertainment	01-Mar-2016
Mortal Kombat X	83.7	15.07	6	NetherRealm Studios, QLOC	13-Apr-2015
Saviors	82.2	15.07	2	Sharpened Edge Studios	06-May-2016
Tropico 4	91.6	15.02	40	Haemimont Games	01-Sep-2011
Bastion	95.6	14.93	6	Supergiant Games	16-Aug-2011
Antichamber	95.1	14.92	6	Alexander Bruce	31-Jan-2013
MURDERED: SOUL SUSPECT™	85.4	14.85	7	Airtight Games	05-Jun-2014
Poof	75.7	14.83	0	Arkedo	08-Nov-2013
Jotun: Valhalla Edition	77.8	14.73	5	Thunder Lotus Games	29-Sep-2015
NotTheNameWeWanted	87.1	14.68	1	NotGames	02-Jul-2015
The Night of the Rabbit	89.5	14.55	10	Daedalic Entertainment	28-May-2013
Clickr	80.1	14.55	4	Ntreev Soft Co., Ltd.	NA
Wasteland 2: Director's Cut	NA	14.53	41	inXile Entertainment	18-Sep-2014
Full Mojo Rampage	84.4	14.38	6	Over the Top Games	08-May-2014
Borealis	59.7	14.07	1	Conrad Nelson	02-Sep-2014
AR-K	56.6	13.92	5	GATO STUDIO	21-Jul-2014
Beyond Space	32.9	13.92	2	Silesia Games Sp. z o.o.	18-Jun-2014
The Cat Lady	93.5	13.7	8	Harvester Games	04-Dec-2013
Turok	94	13.67	8	Iguana Entertainment, Nightdive Studios	17-Dec-2015
Outlast	96.4	13.55	5	Red Barrels	04-Sep-2013
Project Highrise	84.5	13.55	10	SomaSim	08-Sep-2016
Hades	98.5	13.38	22	Supergiant Games	17-Sep-2020
Distance	92.8	13.35	2	Refract	18-Sep-2018
Monkey Island 2: Special Edition	95.6	13.03	7	LucasArts	07-Jul-2010
Resident Evil 6	79.7	12.85	21	Capcom	21-Mar-2013
BattleBlock Theater	97.3	12.6	10	The Behemoth	15-May-2014
Awesomenauts	84.7	12.53	12	Ronimo Games	01-Aug-2012
Goodbye Deponia	88.9	12.52	10	Daedalic Entertainment	17-Oct-2013
Castle Crashers	96.3	12.22	7	The Behemoth	26-Sep-2012
