Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100% Completed	Developer	Publisher	Release date	Removed game	Minimum requirements	Recommended requirements
Counter-Strike: Global Offensive	730	Action, Free to Play	FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, e-sports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable	6875316	88.4	640	55	773	NA	Valve, Hidden Path Entertainment	Valve	21-Aug-2012	NA	OS: Windows® 7\/Vista\/XPProcessor: Intel® Core™ 2 Duo E6600 or AMD Phenom™ X3 8750 processor or betterMemory: 2 GB RAMGraphics: Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0DirectX: Version 9.0cStorage: 15 GB available space	NA
Sid Meier's Civilization VI	289070	Strategy	Strategy, Turn-Based Strategy, Multiplayer, Historical, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation, City Builder, Tactical, Building, Management, Great Soundtrack, Moddable, Online Co-Op, Co-op, Hex Grid, Atmospheric	251165	84.5	233	22	293	NA	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	2K, Aspyr (Mac), Aspyr (Linux)	20-Oct-2016	NA	Requires a 64-bit processor and operating systemOS: Windows 7x64 \/ Windows 8.1x64 \/ Windows 10x64Processor: Intel Core i3 2.5 Ghz or AMD Phenom II 2.6 Ghz or greaterMemory: 4 GB RAMGraphics: 1 GB &amp; AMD 5570 or nVidia 450 or Intel Integrated Graphics 530DirectX: Version 11Storage: 12 GB available spaceSound Card: DirectX Compatible Sound DeviceAdditional Notes: Initial installation requires one-time Internet connection for Steam authentication; software installations required (included with the game) include Steam Client, Microsoft Visual C++ 2012 and 2015 Runtime Libraries, and Microsoft DirectX. Internet connection and acceptance of Steam™ Subscriber Agreement required for activation. See www.steampowered.com\/agreement for details. 	Requires a 64-bit processor and operating systemOS: Windows 7x64 \/ Windows 8.1x64 \/ Windows 10x64Processor: Fourth Generation Intel Core i5 2.5 Ghz or AMD FX8350 4.0 Ghz or greaterMemory: 8 GB RAMGraphics: 2GB &amp; AMD 7970 or nVidia 770 or greaterDirectX: Version 11Storage: 12 GB available spaceSound Card: DirectX Compatible Sound Device
The Elder Scrolls V: Skyrim	72850	RPG	Open World, RPG, Fantasy, Adventure, Dragons, Moddable, First-Person, Action, Medieval, Singleplayer, Magic, Story Rich, Great Soundtrack, Sandbox, Lore-Rich, Atmospheric, Character Customization, Action RPG, Third Person, Epic	312145	94.9	159	34	232	NA	Bethesda Game Studios	Bethesda Softworks	10-Nov-2011	NA	\t\t\t\t\t\t\t\tOS: Windows 7\/Vista\/XP PC (32 or 64 bit)\t\t\t\t\t\t\t\tProcessor: Dual Core 2.0GHz or equivalent processor\t\t\t\t\t\t\t\tMemory: 2GB System RAM\t\t\t\t\t\t\t\tHard Disk Space: 6GB free HDD Space\t\t\t\t\t\t\t\tVideo Card: Direct X 9.0c compliant video card with 512 MB of RAM\t\t\t\t\t\t\t\tSound: DirectX compatible sound card\t\t\t\t\t\t\t\t 	\t\t\t\t\t\t\t\tProcessor: Quad-core Intel or AMD CPU\t\t\t\t\t\t\t\tMemory: 4GB System RAM\t\t\t\t\t\t\t\tVideo Card: DirectX 9.0c compatible NVIDIA or AMD ATI video card with 1GB of RAM (Nvidia GeForce GTX 260 or higher; ATI Radeon 4890 or higher)\t\t\t\t\t\t\t\t
Sid Meier's Civilization V	8930	Strategy	Turn-Based Strategy, Strategy, Turn-Based, Multiplayer, Historical, 4X, Addictive, Singleplayer, Hex Grid, Grand Strategy, Replay Value, Co-op, Economy, Tactical, Diplomacy, Moddable, Simulation, Classic, Great Soundtrack, Touch-Friendly	189663	96.2	154	40	403	NA	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	2K, Aspyr (Mac), Aspyr (Linux)	23-Sep-2010	NA	\t\t\t\t\tOS: Windows® Vista SP2\/ Windows® 7 \t\t\t\t\t\tProcessor: Intel Core 2 Duo 1.8 GHz or AMD Athlon X2 64 2.0 GHz\t\t\t\t\t\tMemory: 2GB RAM \t\t\t\t\t\tGraphics:256 MB ATI HD2600 XT or better, 256 MB nVidia 7900 GS or better, or Core i3 or better integrated graphics \t\t\t\t\t\tDirectX®: DirectX® version 9.0c \t\t\t\t\t\tHard Drive: 8 GB Free \t\t\t\t\t\tSound: DirectX 9.0c-compatible sound card \t\t\t\t\t\tNote: Optimized for the touch-screen Ultrabook™ device\t\t\t\t\t 	\t\t\t\t\tOS: Windows® Vista SP2\/ Windows® 7 \t\t\t\t\t\tProcessor: 1.8 GHz Quad Core CPU \t\t\t\t\t\tMemory: 4 GB RAM \t\t\t\t\t\tGraphics: 512 MB ATI 4800 series or better, 512 MB nVidia 9800 series or better\t\t\t\t\t\tDirectX®: DirectX® version 11\t\t\t\t\t\tHard Drive: 8 GB Free \t\t\t\t\t\tSound: DirectX 9.0c-compatible sound card \t\t\t\t\t\tNote: Optimized for the touch-screen Ultrabook™ device\t\t\t\t\t
Left 4 Dead 2	550	Action	Zombies, Co-op, FPS, Multiplayer, Shooter, Action, Online Co-Op, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical	699958	97.5	118	10	53	NA	Valve	Valve	16-Nov-2009	NA	OS: Windows® 7 32\/64-bit \/ Vista 32\/64 \/ XPProcessor: Pentium 4 3.0GHzMemory: 2 GB RAMGraphics: Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card 	OS: Windows® 7 32\/64-bit \/ Vista 32\/64 \/ XPProcessor: Intel core 2 duo 2.4GHzMemory: 2 GB RAMGraphics: Video Card Shader model 3.0. NVidia 7600, ATI X1600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card
Cookie Clicker	1454400	Casual, Indie, Simulation, Strategy	Clicker, Idler, Casual, Indie, Pixel Graphics, Management, Collectathon, Economy, Funny, Memes, Building, Strategy, Resource Management, 2D, Comedy, Simulation, Colorful, Touch-Friendly, Horror, Singleplayer	40309	97.3	117	140	560	NA	Orteil, DashNet	Playsaurus	01-Sep-2021	NA	OS: Microsoft® Windows Server 2008, Windows 7, or Windows 8 ClassicProcessor: 2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devicesMemory: 512 MB RAMStorage: 350 MB available space	NA
Apex Legends	1172470	Action, Adventure, Free to Play	Free to Play, Multiplayer, Battle Royale, Shooter, FPS, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Survival, Character Customization, Funny, Loot, Lore-Rich, Co-op, Cyberpunk, Cinematic	574043	84	89	35	118	NA	Respawn Entertainment	Electronic Arts	04-Nov-2020	NA	Requires a 64-bit processor and operating systemOS: 64-bit Windows 7Processor: AMD FX 4350 or Equivalent, Intel Core i3 6300 or EquivalentMemory: 6 GB RAMGraphics: AMD Radeon™ HD 7730, NVIDIA GeForce® GT 640DirectX: Version 11Network: Broadband Internet connectionStorage: 56 GB available spaceAdditional Notes: ~3.8GB for 1 localized language 	Requires a 64-bit processor and operating systemOS: 64-bit Windows 7Processor: Ryzen 5 CPU or EquivalentMemory: 8 GB RAMGraphics: AMD Radeon™ R9 290, NVIDIA GeForce® GTX 970DirectX: Version 11Network: Broadband Internet connectionStorage: 56 GB available spaceAdditional Notes: ~3.8GB for 1 localized language
ELDEN RING	1245620	Action, RPG	Souls-like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co-Op, Action, PvP, Co-op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly	623590	91.5	83	55	133	NA	FromSoftware Inc.	FromSoftware Inc., Bandai Namco Entertainment	24-Feb-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: INTEL CORE I5-8400 or AMD RYZEN 3 3300XMemory: 12 GB RAMGraphics: NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes:  	Requires a 64-bit processor and operating systemOS: Windows 10\/11Processor: INTEL CORE I7-8700K or AMD RYZEN 5 3600XMemory: 16 GB RAMGraphics: NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes: 
DiRT Rally 2.0	690790	Racing, Simulation, Sports	Racing, Automobile Sim, Simulation, Multiplayer, Sports, Driving, Realistic, Offroad, VR, Singleplayer, Difficult, First-Person, Open World, Co-op, Controller, 3D Vision, Family Friendly, TrackIR, Action, Adventure	31446	86.5	71	13	161	NA	Codemasters	Codemasters, Electronic Arts	25-Feb-2019	NA	Requires a 64-bit processor and operating systemOS: 64bit versions of Windows® 7, Windows® 8, Windows® 10Processor: AMD FX4300 or Intel Core i3 2130Memory: 8 GB RAMGraphics: AMD HD7750 or NVIDIA GTX650TiDirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: DirectX® Compatible soundcardVR Support: SteamVR or Oculus PC 	Requires a 64-bit processor and operating systemOS: 64bit versions of Windows® 7, Windows® 8, Windows® 10Processor: AMD Ryzen 5 2600X or Intel Core i5 8600KMemory: 8 GB RAMGraphics: AMD RX Vega 56 or NVIDIA GTX 1070DirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: DirectX® Compatible soundcard
Life is Feudal: Your Own	290080	Action, Indie, RPG, Simulation	Open World Survival Craft, Medieval, Open World, Survival, Crafting, Sandbox, Building, Multiplayer, RPG, Simulation, Co-op, MMORPG, Action, Adventure, Massively Multiplayer, Indie, Strategy, Atmospheric, Historical, Singleplayer	11577	66.1	54	0	116	NA	Bitbox Ltd.	Bitbox Ltd.	17-Nov-2015	NA	Requires a 64-bit processor and operating systemOS: Windows 7 (64 bit) (SP1)Processor: Intel® Core™ i5 or AMD Phenom II X4 with at least 2,5 GHzMemory: 4 GB RAMGraphics: GeForce 460\/Radeon HD 5850\/Intel HD 4600 with at least 1024 MB video RAMDirectX: Version 11Network: Broadband Internet connectionStorage: 5 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 7 (64 bit) (SP1), Windows 10 (64 bit)Processor: Intel® Core™ i7 or AMD Phenom II X6 with at least 3,5 GHzMemory: 8 GB RAMGraphics: GeForce 660\/Radeon HD 6970DirectX: Version 11Network: Broadband Internet connectionStorage: 10 GB available space
