Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time	Time_to_finish	Time_to_complete	100% Completed	Developer	Publisher
MONSTER HUNTER RISE	1446780	Action	Action, RPG, Online Co-Op, Hunting, Multiplayer, Character Customization, Co-op, Action RPG, JRPG, Third Person, Singleplayer, PvE, Anime, Fantasy, Nature, 3D, Dragons, Atmospheric, Ninja, Souls-like	64242	86.7921297593475	355	21	153	X	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.
Grand Theft Auto V	271590	Action, Adventure	Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Atmospheric, Sandbox, Funny, Great Soundtrack, Comedy, Moddable	1487943	85.5034097408301	139	32	80	NA	Rockstar North	Rockstar Games
Monster Hunter Stories 2: Wings of Ruin	1277400	Adventure, RPG	RPG, Adventure, JRPG, Exploration, 3D, Cartoony, Dragons, Third Person, Fantasy, Loot, PvE, Character Customization, Emotional, Creature Collector, Turn-Based, PvP, Story Rich, Multiplayer, Hunting, Online Co-Op	13836	82.1480196588609	137	40	140	X	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.
ELDEN RING	1245620	Action, RPG	Souls-like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co-Op, Action, PvP, Co-op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly	621980	91.4524582784012	122	55	133	X	FromSoftware Inc.	FromSoftware Inc., Bandai Namco Entertainment
Monster Hunter: World	582010	Action	Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG	371473	85.9454119141903	110	48	393	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.
PAYDAY 2	218620	Action, RPG	Co-op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation	608853	89.5749877228165	96	25	465	NA	OVERKILL - a Starbreeze Studio.	Starbreeze Publishing AB
Spyro™ Reignited Trilogy	996580	Action, Adventure	Adventure, 3D Platformer, Remake, Dragons, Action, Family Friendly, Classic, Singleplayer, Cute, Platformer, Colorful, Fantasy, Cult Classic, Great Soundtrack, Casual, Collectathon, Cartoony, Third Person, Atmospheric, Funny	16287	94.8179529686253	51	17	33	X	Toys for Bob, Iron Galaxy	Activision
Yu-Gi-Oh! Legacy of the Duelist	480650	Simulation	Card Game, Card Battler, Deckbuilding, Anime, Simulation, Trading Card Game, Multiplayer, Strategy, Singleplayer, Fantasy, Action, Casual, Turn-Based	4354	84.6577859439596	50	17	65	X	Other Ocean Interactive	Konami Digital Entertainment, Inc.
Road Redemption	300380	Action, Adventure, Indie, Racing, Simulation	Racing, Action, Motorbike, Indie, Multiplayer, Local Co-Op, Simulation, Adventure, Violent, Arcade, 4 Player Local, Singleplayer, Local Multiplayer, Gore, Third Person, Funny, Rogue-like, Rogue-lite, Sports, Shooter	10726	81.9970165951893	43	6	26	X	EQ-Games , Pixel Dash Studios	Tripwire Presents
Fable Anniversary	288470	RPG	RPG, Fantasy, Open World, Classic, Adventure, Singleplayer, Remake, Action RPG, Atmospheric, Choices Matter, Third Person, Story Rich, Character Customization, Comedy, Action, Great Soundtrack, Medieval, Magic, Sandbox, Funny	11527	84.6707729678147	39	13	32	X	Lionhead Studios	Xbox Game Studios
