Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_players_five_last_achievements	Percentage_players_last_achievement	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
MONSTER HUNTER RISE	1446780	Action	Action, Hunting, Online Co-Op, Character Customization, RPG, Multiplayer, Action RPG, Co-op, Singleplayer, Third Person, JRPG, PvE, Fantasy, Anime, Dragons, 3D, Nature, Atmospheric, Open World, Ninja	112672	82.2	354.63	23	178	100	16.1 ± 16.47	0.8	100	2022-01-15	2023-01-01	2023-01-01	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	12-Jan-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 （64-bit）Processor: Intel® Core™ i3-4130 or Core™ i5-3470 or AMD FX™-6100Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GT 1030 (DDR4) or AMD Radeon™ RX 550DirectX: Version 12Network: Broadband Internet connectionStorage: 36 GB available spaceAdditional Notes: 1080p\/30fps when graphics settings are set to &quot;Low&quot;. 	Requires a 64-bit processor and operating systemOS: Windows 10 （64-bit）Processor: Intel® Core™ i5-4460 or AMD FX™-8300Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or AMD Radeon™ RX 570 (VRAM 4GB)DirectX: Version 12Network: Broadband Internet connectionStorage: 36 GB available spaceAdditional Notes: 1080p\/30fps when graphics settings are set to &quot;Average&quot;.
Monster Hunter: World	582010	Action	Co-op, Multiplayer, Action, Open World, RPG, Character Customization, Third Person, Adventure, Fantasy, Action RPG, Difficult, Singleplayer, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, MMORPG, Souls-like	493390	88	203.17	47	424	100	26.72 ± 21.55	0.8	60	2018-08-09	2024-02-27	2024-02-27	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	08-Aug-2018	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-bit required)Processor: Intel® Core™ i5 4460 or Core™ i3 9100F or AMD FX™-6300 or Ryzen™ 3 3200GMemory: 8 GB RAMGraphics: NVIDIA®GeForce®GTX 760 or GTX1050 or AMD Radeon™ R7 260x or RX 560DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;Low&quot;. - 64-bit processor and operating system are required. 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-bit required)Processor: Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F \/ AMD Ryzen™ 5 1500X or Ryzen™ 5 3400GMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 \/ AMD Radeon™ RX 480 or RX 570DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;High&quot;. - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.
ELDEN RING	1245620	Action, RPG	Souls-like, Open World, Dark Fantasy, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, Atmospheric, PvP, Great Soundtrack, Violent, 3D, Character Customization, Family Friendly	1056677	92.9	164.12	60	135	42	42.25 ± 15.34	10.2	100	2022-02-25	2022-03-30	2024-07-07	FromSoftware, Inc.	FromSoftware, Inc., Bandai Namco Entertainment	24-Feb-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: INTEL CORE I5-8400 or AMD RYZEN 3 3300XMemory: 12 GB RAMGraphics: NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes:  	Requires a 64-bit processor and operating systemOS: Windows 10\/11Processor: INTEL CORE I7-8700K or AMD RYZEN 5 3600XMemory: 16 GB RAMGraphics: NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes: 
Grand Theft Auto V Legacy	271590	Action, Adventure	Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Mature, Shooter, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Sandbox, Atmospheric, Funny, Great Soundtrack, Comedy, Moddable	1990556	87.4	139.22	NA	NA	77	17.93 ± 15.36	3.9	45.45	2015-04-14	2016-07-02	2019-08-09	Rockstar North	Rockstar Games	13-Apr-2015	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64 BitProcessor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) \/ AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHzMemory: 4 GB RAMGraphics: NVIDIA 9800 GT 1GB \/ AMD HD 4870 1GB (DX 10, 10.1, 11)Storage: 120 GB available spaceSound Card: 100% DirectX 10 compatibleAdditional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and  for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software. 	Requires a 64-bit processor and operating systemOS: Windows 10 64 BitProcessor: Intel Core i5 3470 @ 3.2GHz (4 CPUs) \/ AMD X8 FX-8350 @ 4GHz (8 CPUs)Memory: 8 GB RAMGraphics: NVIDIA GTX 660 2GB \/ AMD HD 7870 2GBStorage: 120 GB available spaceSound Card: 100% DirectX 10 compatible
Monster Hunter Stories 2: Wings of Ruin	1277400	Adventure, RPG	RPG, Adventure, JRPG, Exploration, Creature Collector, Cartoony, 3D, Dragons, Third Person, Fantasy, Loot, Turn-Based, Character Customization, PvE, Emotional, PvP, Story Rich, Multiplayer, Online Co-Op, Hunting	15987	82.5	136.65	41	142	48	34.61 ± 25.21	1.6	100	2021-07-10	2021-09-26	2021-09-27	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	08-Jul-2021	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-3470 3.20 GHz or AMD FX-6300™ or betterMemory: 4 GB RAMGraphics: NVIDIA®GeForce® GTX 960 \/ 2GB VRAM or AMD Radeon RX 560 \/ 2GB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 28 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: This game is expected to run at 1080p\/30 FPS. If you don't have enough performance to run the game at your selected graphic quality, you must go to Options &gt; Graphics and decrease the resolution or adjust the quality setting. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.) 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 3.20 GHz or AMD FX-8300™ or betterMemory: 8 GB RAMGraphics: NVIDIA®GeForce® GTX 960 \/ 2GB VRAM or AMD Radeon RX 560 \/ 2GB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 28 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: This game is expected to run at 1080p\/30 FPS. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.)
Forza Horizon 4	1293830	Racing	Racing, Open World, Driving, Multiplayer, Automobile Sim, Realistic, Online Co-Op, Singleplayer, Controller, Simulation, PvP, Adventure, Exploration, Arcade, Atmospheric, Action, Sports, Great Soundtrack, First-Person, Funny	290917	90.7	120.68	15	157	178	9.99 ± 15.61	1.1	100	2022-07-07	2024-09-27	2024-09-27	Playground Games	Xbox Game Studios	09-Mar-2021	X	Requires a 64-bit processor and operating systemOS: Windows 10 version 15063.0 or higherProcessor: Intel i3-4170 @ 3.7Ghz OR Intel i5 750 @ 2.67GhzMemory: 8 GB RAMGraphics: NVidia 650TI OR AMD R7 250xDirectX: Version 12Network: Broadband Internet connectionStorage: 80 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10 version 15063.0 or higherProcessor: Intel i7-3820 @ 3.6GhzMemory: 12 GB RAMGraphics: NVidia GTX 970 OR NVidia GTX 1060 3GB OR AMD R9 290x OR AMD RX 470DirectX: Version 12Network: Broadband Internet connectionStorage: 100 GB available space
PAYDAY 2	218620	Action, RPG	Co-op, Action, FPS, Heist, Multiplayer, Looter Shooter, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation	663082	89.6	96.05	27	533	1328	7.26 ± 7.49	0.4	17.17	2015-05-18	2018-10-15	2019-07-06	OVERKILL - a Starbreeze Studio.	Starbreeze Publishing AB	13-Aug-2013	NA	OS *: Windows 7Processor: 2 GHz Intel Dual Core ProcessorMemory: 4 GB RAMGraphics: Nvidia &amp; AMD (512MB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale 	OS: Windows 10Processor: 2.3 GHz Intel Quad Core ProcessorMemory: 8 GB RAMGraphics: Nvidia &amp; AMD (1GB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale
Monster Hunter Wilds	2246340	Action, Adventure, RPG	Hunting, Action, Multiplayer, Online Co-Op, Co-op, Dating Sim, Character Customization, Dragons, Open World, Third Person, Action RPG, Adventure, Fantasy, Cute, RPG, Singleplayer, Atmospheric, Great Soundtrack, Underwater, Souls-like	218415	58.3	92.33	18	104	50	48.51 ± 27.77	4	100	2025-02-28	2025-04-09	2025-05-29	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	27-Feb-2025	NA	Requires a 64-bit processor and operating systemOS: Windows®10 (64-bit Required)\/Windows®11 (64-bit Required)Processor: Intel® Core™ i5-10400 or Intel® Core™ i3-12100 or AMD Ryzen™ 5 3600Memory: 16 GB RAMGraphics: NVIDIA® GeForce® GTX 1660(VRAM 6GB) or AMD Radeon™ RX 5500 XT(VRAM 8GB)DirectX: Version 12Network: Broadband Internet connectionStorage: 75 GB available spaceAdditional Notes: SSD required. This game is expected to run at 1080p (upscaled from 720 native resolution) \/ 30 fps under the &quot;Lowest&quot; graphics setting. DirectStorage supported. 	Requires a 64-bit processor and operating systemOS: Windows®10 (64-bit Required)\/Windows®11 (64-bit Required)Processor: Intel® Core™ i5-10400 or Intel® Core™ i3-12100 or AMD Ryzen™ 5 3600Memory: 16 GB RAMGraphics: NVIDIA® GeForce® RTX 2060 Super(VRAM 8GB) or　AMD Radeon™  RX 6600(VRAM 8GB)DirectX: Version 12Network: Broadband Internet connectionStorage: 75 GB available spaceAdditional Notes: SSD required. This game is expected to run at 1080p \/ 60 fps (with Frame Generation enabled) under the &quot;Medium&quot; graphics setting. DirectStorage supported.
Vampire Survivors	1794680	Action, Casual, Indie, RPG	Action Roguelike, Bullet Hell, Pixel Graphics, Rogue-lite, Vampire, 2D, Indie, Singleplayer, Casual, Arcade, Action, Rogue-like, RPG, Controller, Retro, Score Attack, Local Co-Op, Dark Fantasy, Action RPG, 1980s	250334	98.5	83.23	15	51	228	34.88 ± 28.06	0.6	100	2022-02-11	2025-04-13	2025-04-13	poncle	poncle	20-Oct-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64bitProcessor: x64 architecture with SSE2 instruction set supportMemory: 1 GB RAMGraphics: DX11, DX12 capableStorage: 2500 MB available space 	Requires a 64-bit processor and operating system
Resident Evil 4	2050650	Action, Adventure	Horror, Action, Survival Horror, Third-Person Shooter, Singleplayer, Zombies, Story Rich, Survival, Cinematic, Dark, Remake, Realistic, Third Person, Gore, Resource Management, VR, Adventure, Violent, Action-Adventure, Psychological Horror	181708	97.7	80.63	16	64	46	34.59 ± 26.05	5.3	100	2023-03-24	2023-10-26	2023-10-26	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	23-Mar-2023	NA	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: AMD Ryzen 3 1200 \/ Intel Core i5-7500Memory: 8 GB RAMGraphics: AMD Radeon RX 560 with 4GB VRAM \/ NVIDIA GeForce GTX 1050 Ti with 4GB VRAMDirectX: Version 12Network: Broadband Internet connectionAdditional Notes: Estimated performance (when set to Prioritize Performance): 1080p\/45fps. ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2060 required to support ray tracing. 	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)\/Windows 11 (64 bit)Processor: AMD Ryzen 5 3600 \/ Intel Core i7 8700Memory: 16 GB RAMGraphics: AMD Radeon RX 5700 \/ NVIDIA GeForce GTX 1070DirectX: Version 12Network: Broadband Internet connectionAdditional Notes: Estimated performance: 1080p\/60fps ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2070 required to support ray tracing.
