Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
MONSTER HUNTER RISE	1446780	Action	Action, RPG, Online Co-Op, Multiplayer, Hunting, Character Customization, Action RPG, Co-op, JRPG, Third Person, Singleplayer, PvE, Fantasy, Anime, Nature, 3D, Dragons, Atmospheric, Ninja, Souls-like	76487	86.4	354.63	22	155	100	100	2022-01-15	2023-01-01	2023-01-01	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	12-Jan-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 （64-bit）Processor: Intel® Core™ i3-4130 or Core™ i5-3470 or AMD FX™-6100Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GT 1030 (DDR4) or AMD Radeon™ RX 550DirectX: Version 12Network: Broadband Internet connectionStorage: 36 GB available spaceAdditional Notes: 1080p\/30fps when graphics settings are set to &quot;Low&quot;. System requirements subject to change during game development. 	Requires a 64-bit processor and operating systemOS: Windows 10 （64-bit）Processor: Intel® Core™ i5-4460 or AMD FX™-8300Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or AMD Radeon™ RX 570 (VRAM 4GB)DirectX: Version 12Network: Broadband Internet connectionStorage: 36 GB available spaceAdditional Notes: 1080p\/30fps when graphics settings are set to &quot;Average&quot;. System requirements subject to change during game development.
Grand Theft Auto V	271590	Action, Adventure	Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Atmospheric, Sandbox, Funny, Great Soundtrack, Comedy, Moddable	1583872	85.9	139.22	32	82	77	45.45	2015-04-14	2016-07-02	2019-08-09	Rockstar North	Rockstar Games	13-Apr-2015	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1Processor: Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) \/ AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHzMemory: 4 GB RAMGraphics: NVIDIA 9800 GT 1GB \/ AMD HD 4870 1GB (DX 10, 10.1, 11)Storage: 72 GB available spaceSound Card: 100% DirectX 10 compatibleAdditional Notes: Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and www.rockstargames.com\/support for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software. 	Requires a 64-bit processor and operating systemOS: Windows 10 64 Bit, Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1Processor: Intel Core i5 3470 @ 3.2GHz (4 CPUs) \/ AMD X8 FX-8350 @ 4GHz (8 CPUs)Memory: 8 GB RAMGraphics: NVIDIA GTX 660 2GB \/ AMD HD 7870 2GBStorage: 72 GB available spaceSound Card: 100% DirectX 10 compatible
Monster Hunter Stories 2: Wings of Ruin	1277400	Adventure, RPG	RPG, Adventure, JRPG, Exploration, Cartoony, 3D, Dragons, Third Person, Fantasy, Loot, Creature Collector, Character Customization, PvE, Emotional, Turn-Based, PvP, Story Rich, Multiplayer, Hunting, Online Co-Op	14440	82.4	136.65	40	143	48	100	2021-07-10	2021-09-26	2021-09-27	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	08-Jul-2021	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-3470 3.20 GHz or AMD FX-6300™ or betterMemory: 4 GB RAMGraphics: NVIDIA®GeForce® GTX 960 \/ 2GB VRAM or AMD Radeon RX 560 \/ 2GB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 28 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: This game is expected to run at 1080p\/30 FPS. If you don't have enough performance to run the game at your selected graphic quality, you must go to Options &gt; Graphics and decrease the resolution or adjust the quality setting. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.) 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 3.20 GHz or AMD FX-8300™ or betterMemory: 8 GB RAMGraphics: NVIDIA®GeForce® GTX 960 \/ 2GB VRAM or AMD Radeon RX 560 \/ 2GB VRAMDirectX: Version 11Network: Broadband Internet connectionStorage: 28 GB available spaceSound Card: DirectSound compatible (must support DirectX® 9.0c or higher)Additional Notes: This game is expected to run at 1080p\/30 FPS. An internet connection is required for product activation. (Network connectivity uses Steam® developed by Valve® Corporation.)
ELDEN RING	1245620	Action, RPG	Souls-like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co-Op, Action, PvP, Co-op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly	691127	92	122.42	57	133	42	100	2022-02-25	2022-03-30	2022-05-18	FromSoftware Inc.	FromSoftware Inc., Bandai Namco Entertainment	24-Feb-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: INTEL CORE I5-8400 or AMD RYZEN 3 3300XMemory: 12 GB RAMGraphics: NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes:  	Requires a 64-bit processor and operating systemOS: Windows 10\/11Processor: INTEL CORE I7-8700K or AMD RYZEN 5 3600XMemory: 16 GB RAMGraphics: NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes: 
Monster Hunter: World	582010	Action	Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG	386730	86.4	110.28	47	401	100	31	2018-08-09	2019-01-07	2021-11-16	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	09-Aug-2018	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i5 4460 or Core™ i3 9100F or AMD FX™-6300 or Ryzen™ 3 3200GMemory: 8 GB RAMGraphics: NVIDIA®GeForce®GTX 760 or GTX1050 or AMD Radeon™ R7 260x or RX 560DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;Low&quot;. - 64-bit processor and operating system are required. 	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-bit required)Processor: Intel® Core™ i7 3770 or Core™ i3 8350 or Core™ i3 9350F \/ AMD Ryzen™ 5 1500X or Ryzen™ 5 3400GMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 (VRAM 3GB) or GTX 1650 \/ AMD Radeon™ RX 480 or RX 570DirectX: Version 11Network: Broadband Internet connectionStorage: 52 GB available spaceSound Card: DirectSound (DirectX® 9.0c or later)Additional Notes: - These specs allow for the game to be played in 1080p\/30fps with graphics settings at &quot;High&quot;. - 64-bit processor and operating system are required. - Windows 10 (Version 1809 or later) and a 4GB VRAM GPU (graphics board or video card) are required for DirectX 12 API.
PAYDAY 2	218620	Action, RPG	Co-op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation	630546	89.3	96.05	25	480	1328	17.17	2015-05-18	2018-10-15	2019-07-06	OVERKILL - a Starbreeze Studio.	Starbreeze Publishing AB	13-Aug-2013	NA	OS: Windows 7Processor: 2 GHz Intel Dual Core ProcessorMemory: 4 GB RAMGraphics: Nvidia &amp; AMD (512MB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale 	OS: Windows 10Processor: 2.3 GHz Intel Quad Core ProcessorMemory: 8 GB RAMGraphics: Nvidia &amp; AMD (1GB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale
Resident Evil 4	2050650	Action, Adventure	Action, Horror, Survival Horror, Third-Person Shooter, Zombies, Survival, Singleplayer, Story Rich, Dark, Cinematic, Realistic, Resource Management, 3D, Psychological Horror, Gore, Adventure, Remake, Third Person, Action-Adventure, Violent	84645	97.5	65.93	16	58	46	84.78	2023-03-24	2023-05-13	2023-05-13	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	23-Mar-2023	NA	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: AMD Ryzen 3 1200 \/ Intel Core i5-7500Memory: 8 GB RAMGraphics: AMD Radeon RX 560 with 4GB VRAM \/ NVIDIA GeForce GTX 1050 Ti with 4GB VRAMDirectX: Version 12Network: Broadband Internet connectionAdditional Notes: Estimated performance (when set to Prioritize Performance): 1080p\/45fps. ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2060 required to support ray tracing. 	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)\/Windows 11 (64 bit)Processor: AMD Ryzen 5 3600 \/ Intel Core i7 8700Memory: 16 GB RAMGraphics: AMD Radeon RX 5700 \/ NVIDIA GeForce GTX 1070DirectX: Version 12Network: Broadband Internet connectionAdditional Notes: Estimated performance: 1080p\/60fps ・Framerate might drop in graphics-intensive scenes. ・AMD Radeon RX 6700 XT or NVIDIA GeForce RTX 2070 required to support ray tracing.
God of War	1593500	Action, Adventure, RPG	Action, Singleplayer, Story Rich, Adventure, Mythology, Third Person, Combat, RPG, Violent, Hack and Slash, Fantasy, Exploration, Open World, Atmospheric, Gore, Emotional, Action RPG, Souls-like, 3D, PvE	106252	96.9	52.58	21	51	37	100	2023-03-01	2023-04-23	2023-04-23	Santa Monica Studio	PlayStation PC LLC	14-Jan-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel i5-2500k (4 core 3.3 GHz) or AMD Ryzen 3 1200 (4 core 3.1 GHz)Memory: 8 GB RAMGraphics: NVIDIA GTX 960 (4 GB) or AMD R9 290X (4 GB)DirectX: Version 11Storage: 70 GB available spaceAdditional Notes: DirectX feature level 11_1 required 	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel i5-6600k (4 core 3.5 GHz) or AMD Ryzen 5 2400 G (4 core 3.6 GHz)Memory: 8 GB RAMGraphics: NVIDIA GTX 1060 (6 GB) or AMD RX 570 (4 GB)DirectX: Version 11Storage: 70 GB available spaceAdditional Notes: DirectX feature level 11_1 required
Spyro™ Reignited Trilogy	996580	Action, Adventure	Adventure, 3D Platformer, Remake, Dragons, Action, Family Friendly, Classic, Singleplayer, Platformer, Cute, Colorful, Fantasy, Collectathon, Cult Classic, Casual, Great Soundtrack, Cartoony, Third Person, Atmospheric, Funny	17458	94.5	51.47	17	33	105	100	2022-02-19	2022-05-15	2022-05-18	Toys for Bob, Iron Galaxy	Activision	03-Sep-2019	NA	Requires a 64-bit processor and operating systemOS: Windows 7Processor: Intel Core i3-2100 | AMD FX-6300Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 660 (2 GB) | AMD Radeon HD 7850 (2 GB)DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible 	Requires a 64-bit processor and operating systemOS: Windows 7Processor: Intel Core i5-2500K | AMD FX-8350Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 960 (2 GB) | AMD Radeon RX 480DirectX: Version 9.0Storage: 40 GB available spaceSound Card: DirectX Compatible
Yu-Gi-Oh! Legacy of the Duelist	480650	Simulation	Card Game, Card Battler, Deckbuilding, Anime, Simulation, Trading Card Game, Multiplayer, Strategy, Singleplayer, Fantasy, Action, Casual, Turn-Based	4424	84.4	50.2	18	64	21	100	2018-06-29	2021-11-21	2021-11-21	Other Ocean Interactive	Konami Digital Entertainment, Inc.	07-Dec-2016	NA	Requires a 64-bit processor and operating systemOS: Windows 7x64, Windows 8x64 (64-bit OS Required)Processor: 2.5GHz CPUMemory: 2 GB RAMGraphics: 512MB DirectX 11.0 compatible video cardDirectX: Version 11Storage: 2 GB available spaceSound Card: DirectX 11.0 compatible sound card 	Requires a 64-bit processor and operating systemOS: Windows 8x64 (64-bit OS Required)Processor: 3GHz CPUMemory: 4 GB RAMGraphics: 1GB DirectX 11.0 compatible video cardDirectX: Version 11Network: Broadband Internet connectionStorage: 2 GB available spaceSound Card: DirectX 11.0 compatible sound card
